,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
195,,,0,61,,Fundação,2,1,14.0,1,,1,331000,2,1,2,2,
196,,,1,90,,Cerâmica,2,1,775.0,1,,0,990000,2,1,2,2,
197,,,1,106,,Santa Paula,3,1,450.0,1,,0,550000,3,1,2,3,
198,,,0,68,,Cerâmica, -- ,1,878.0,1,,1,6498000,2,0,2, -- ,
199,,,0,68,,Barcelona,2,1,738.0,1,,1,450000,2,1,2,2,
200,,,0,67,,Barcelona,2,1,395.0,1,,0,455000,2,1,2,2,
201,,,0,88,,Barcelona,4,1,410.0,1,,1,450000,3,0,2,4,
202,,,0,62,,Santo Antônio,1,0,447.0,1,,0,475000,2,0,2,1,
203,,,0,79,,Mauá,4,1,482.0,1,,1,495000,3,1,2,4,
204,,,0,150,,Centro,3,1,478.0,1,,1,630000,4,1,2,3,
205,,,0,61,,Osvaldo Cruz, 2-3 ,1,351.0,1,,1,510000,2,1,2, 2-3 ,
206,,,0,76,,Santa Maria,2,1,568.0,1,,1,4199000,2,1,2,2,
207,,,0,79,,Boa Vista,2,0,430.0,1,,0,700000,3,0,2,2,
208,,,0,55,,Olímpico,1,1,535.0,1,,1,2969000,2,1,2,1,
209,,,0,174,,Santa Paula,2,1,105.0,1,,1,990000,3,1,2,2,
210,,,1,65,,Boa Vista,1,1,500.0,1,,0,365000,2,1,2,1,
211,,,0,90,,Olímpico,1,1,19.0,1,,1,850000,2,1,2,1,
212,,,1,90,,Santa Paula,2,1,150.0,0,,0,650000,3,0,2,2,
213,,,0,180,,Santa Paula,1,1,511.0,1,,1,1200000,3,1,2,1,
214,,,1,67,,Santa Maria,3,0,515.0,1,,0,240000,3,1,2,3,
215,,,0,65,,Barcelona,2,1,508.0,1,,1,435000,2,1,2,2,
216,,,1,70,,Olímpico,1,0,550.0,0,,1,395000,2,1,2,1,
217,,,1,75,,Santa Maria,2,1,450.0,1,,0,460000,2,1,2,2,
218,,,0,160,,Santa Maria, -- ,1,600.0,1,,1,7499000,3,1,2, -- ,
219,,,0,84,,Santa Paula,1,0,385.0,0,,0,750000,3,0,2,1,
220,,,1,140,,Nova Gerty,1,0,561.0,0,,1,500000,2,1,2,1,
221,,,1,56,,Cerâmica,3,1,14.0,0,,1,459000,2,1,2,3,
222,,,0,68,,Cerâmica,1,0,775.0,1,,0,720000,2,1,2,1,
223,,,0,64,,Santa Maria,3,1,450.0,1,,1,390000,2,1,2,3,
