bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,447.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,0,0,14.0,331000
Fundacao,61,0.3333333333333333,1.0000000000000002,1.0000000000000002,0,0,1,1,0,508.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,0,1,1,0,12.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,105.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,775.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,105.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,1,1,0,511.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,0,0,520.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,0,1,0,0,447.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,0,1,1,0,395.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,775.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,600.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,447.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,1,0,0,0,430.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,1,1,1,1,0,550.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,385.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,478.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,0,0,500.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,1,1,600.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,535.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,0,0,0,0,500.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,450.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,0,1,1,1,1,150.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,511.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,1,0,568.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,410.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,0,1,1,0,150.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,1,1,0,600.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,0,0,1,1,300.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,351.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,0,1,1,1,1,105.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,0,1,385.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,0,1,447.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,500.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,775.0,331000
Fundacao,61,0.3333333333333333,1.0000000000000002,1.0000000000000002,0,1,1,1,1,105.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,395.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,0,1,1,0,385.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,0,1,1,0,105.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,550.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,1,1,1,19.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,1,0,1,1,775.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,450.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,450.0,331000
