,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
248,2,Barcelona,65,2,2,2,1,1,1,1,0,14.0,435000
249,2,Olímpico,70,2,1,1,0,1,1,1,1,775.0,395000
250,2,Santa Maria,75,2,1,1,1,0,0,1,1,878.0,460000
251,2,Santa Maria,160,3,2,2,1,1,0,1,1,738.0,7499000
252,2,Santa Paula,84,3,2,2,0,0,1,1,0,395.0,750000
253,2,Nova Gerty,140,2,2,2,0,1,1,1,1,410.0,500000
254,2,Cerâmica,56,2,2,2,0,0,1,1,0,447.0,459000
255,2,Cerâmica,68,2,2,2,0,1,1,1,1,482.0,720000
256,2,Santa Maria,64,2,2,2,1,1,1,1,0,478.0,390000
257,2,Cerâmica,65,2,1,1,1,1,1,1,0,105.0,430000
258,2,Jardim Sao Caetano,80,3,2,2,0,1,1,0,1,351.0,495000
259,2,Olímpico,264,3,1,1,0,1,1,1,1,568.0,1980000
260,2,Santo Antônio,113,2,3,3,0,1,1,1,0,430.0,1130000
261,2,Fundação,61,2,2,2,0,1,1,0,1,535.0,331000
262,2,Cerâmica,90,2,3,3,0,0,1,0,0,105.0,990000
263,2,Santa Paula,106,3,3,3,0,1,1,1,1,500.0,550000
264,2,Cerâmica,68,2,3,3,0,1,1,1,1,520.0,6498000
265,2,Barcelona,68,2,1,1,1,0,1,1,0,19.0,450000
266,2,Barcelona,67,2,2,2,0,1,1,1,1,150.0,455000
267,2,Barcelona,88,3,2,2,0,1,1,1,1,511.0,450000
268,2,Santo Antônio,62,2,2,2,0,0,1,0,0,515.0,475000
269,2,Mauá,79,3,1,1,0,1,1,1,1,508.0,495000
270,2,Centro,150,4,3,3,0,1,1,1,1,550.0,630000
271,2,Osvaldo Cruz,61,2,2,2,0,0,1,1,1,450.0,510000
272,2,Santa Maria,76,2,1,1,0,1,1,1,1,600.0,4199000
273,2,Boa Vista,79,3,2,2,1,1,0,0,0,385.0,700000
274,2,Olímpico,55,2,1,1,0,1,1,1,1,561.0,2969000
275,2,Santa Paula,174,3,2,2,1,0,1,1,0,14.0,990000
276,2,Boa Vista,65,2,1,1,0,1,1,1,1,775.0,365000
277,2,Olímpico,90,2,1,1,0,1,1,1,1,878.0,850000
278,2,Santa Paula,90,3,2,2,1,1,1,1,0,738.0,650000
279,2,Santa Paula,180,3,1,1,0,1,1,1,1,395.0,1200000
280,2,Santa Maria,67,3,1,1,0,0,0,0,0,410.0,240000
281,2,Barcelona,65,2,2,2,1,0,0,1,1,447.0,435000
282,2,Olímpico,70,2,2,2,1,1,0,1,1,482.0,395000
283,2,Santa Maria,75,2,2,2,0,1,1,1,1,105.0,460000
284,2,Santa Maria,160,3,1,1,0,0,1,1,0,351.0,7499000
285,2,Santa Paula,84,3,3,3,0,1,1,1,1,568.0,750000
286,2,Nova Gerty,140,2,1,1,1,1,1,1,0,430.0,500000
287,2,Cerâmica,56,2,2,2,1,1,1,1,0,535.0,459000
288,2,Cerâmica,68,2,2,2,0,1,1,0,1,105.0,720000
289,2,Santa Maria,64,2,3,3,0,1,1,1,1,500.0,390000
